2.97557346624
         1937230 function calls (1935265 primitive calls) in 6.630 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50035    2.044    0.000    2.739    0.000 linalg.py:455(inv)
   300266    1.973    0.000    1.973    0.000 {numpy.core._dotblas.dot}
    20001    0.267    0.000    1.493    0.000 Recursive.py:184(gGen)
    10000    0.215    0.000    2.339    0.000 Recursive.py:292(Kubo)
    50004    0.199    0.000    0.282    0.000 twodim_base.py:170(eye)
    20000    0.195    0.000    2.099    0.000 Recursive.py:229(RecAdd)
    20001    0.178    0.000    0.226    0.000 Recursive.py:80(HArmStrip)
    10000    0.149    0.000    1.576    0.000 Recursive.py:244(gOffDiagonal)
    50038    0.123    0.000    0.123    0.000 {method 'astype' of 'numpy.ndarray' objects}
    70022    0.110    0.000    0.110    0.000 {numpy.core.multiarray.zeros}
    50035    0.108    0.000    0.190    0.000 linalg.py:139(_commonType)
        1    0.087    0.087    6.386    6.386 Recursive.py:412(CASubsRandom)
    10000    0.084    0.000    0.084    0.000 {method 'trace' of 'numpy.ndarray' objects}
    10000    0.069    0.000    0.091    0.000 random.py:290(sample)
    62229    0.068    0.000    0.068    0.000 {numpy.core.multiarray.array}
    50035    0.061    0.000    0.168    0.000 linalg.py:106(_makearray)
    50035    0.049    0.000    0.080    0.000 linalg.py:209(_assertNdSquareness)
    50035    0.049    0.000    0.055    0.000 linalg.py:198(_assertRankAtLeast2)
    60125    0.047    0.000    0.113    0.000 numeric.py:392(asarray)
150193/150171    0.046    0.000    0.047    0.000 {issubclass}
    50035    0.046    0.000    0.046    0.000 linalg.py:101(get_linalg_error_extobj)
   100070    0.030    0.000    0.049    0.000 linalg.py:111(isComplexType)
    70721    0.025    0.000    0.025    0.000 {range}
    50445    0.022    0.000    0.022    0.000 {max}
    50035    0.021    0.000    0.030    0.000 linalg.py:124(_realType)
    10000    0.021    0.000    0.028    0.000 Recursive.py:69(ImpConvert)
    20000    0.016    0.000    0.241    0.000 Recursive.py:92(HArmStripSubs)
    53938    0.014    0.000    0.014    0.000 {getattr}
    10682    0.013    0.000    0.013    0.000 {hasattr}
        2    0.013    0.006    0.033    0.017 machar.py:113(_do_init)
    10000    0.013    0.000    0.115    0.000 fromnumeric.py:1223(trace)
     2106    0.010    0.000    0.010    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    51383    0.010    0.000    0.010    0.000 {min}
73293/72980    0.009    0.000    0.009    0.000 {len}
    51119    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
    50035    0.008    0.000    0.008    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        7    0.007    0.001    0.067    0.010 __init__.py:1(<module>)
   312/77    0.006    0.000    0.014    0.000 sre_parse.py:380(_parse)
    50563    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      273    0.006    0.000    0.007    0.000 function_base.py:2945(add_newdoc)
      150    0.005    0.000    0.006    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      221    0.004    0.000    0.007    0.000 sre_compile.py:208(_optimize_charset)
    31001    0.004    0.000    0.004    0.000 {method 'random' of '_random.Random' objects}
       11    0.004    0.000    0.005    0.000 collections.py:282(namedtuple)
        1    0.004    0.004    0.005    0.005 polynomial.py:55(<module>)
        1    0.004    0.004    0.006    0.006 numeric.py:1(<module>)
   604/72    0.003    0.000    0.012    0.000 sre_compile.py:33(_compile)
    30275    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
        1    0.003    0.003    0.004    0.004 chebyshev.py:87(<module>)
        1    0.003    0.003    0.004    0.004 hermite.py:59(<module>)
        1    0.003    0.003    0.004    0.004 legendre.py:83(<module>)
     3587    0.003    0.000    0.003    0.000 sre_parse.py:183(__next)
        1    0.003    0.003    0.004    0.004 laguerre.py:59(<module>)
        1    0.003    0.003    0.004    0.004 hermite_e.py:59(<module>)
        1    0.003    0.003    0.003    0.003 hashlib.py:72(<module>)
        1    0.003    0.003    0.003    0.003 {cPickle.load}
     2024    0.002    0.000    0.018    0.000 fromnumeric.py:1762(any)
        7    0.002    0.000    0.002    0.000 {imp.load_module}
       59    0.002    0.000    0.002    0.000 sre_compile.py:259(_mk_bitmap)
  838/314    0.002    0.000    0.002    0.000 sre_parse.py:141(getwidth)
       11    0.002    0.000    0.007    0.001 artist.py:939(_get_setters_and_targets)
        1    0.002    0.002    0.002    0.002 Tkinter.py:31(<module>)
        1    0.002    0.002    0.002    0.002 afm.py:34(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:525(<module>)
        1    0.002    0.002    0.014    0.014 figure.py:12(<module>)
        1    0.002    0.002    0.021    0.021 __init__.py:99(<module>)
        1    0.002    0.002    0.005    0.005 backend_tkagg.py:3(<module>)
     2024    0.002    0.000    0.011    0.000 _methods.py:31(_any)
     6300    0.002    0.000    0.002    0.000 {isinstance}
      400    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      534    0.001    0.000    0.002    0.000 inspect.py:743(getargs)
     2025    0.001    0.000    0.003    0.000 numeric.py:462(asanyarray)
       35    0.001    0.000    0.001    0.000 {dir}
       11    0.001    0.000    0.003    0.000 artist.py:883(get_aliases)
        1    0.001    0.001    0.008    0.008 widgets.py:10(<module>)
     8167    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        3    0.001    0.000    0.005    0.002 __init__.py:3(<module>)
        1    0.001    0.001    0.070    0.070 __init__.py:106(<module>)
        1    0.001    0.001    0.072    0.072 pylab.py:216(<module>)
        1    0.001    0.001    0.010    0.010 axes.py:1(<module>)
     2024    0.001    0.000    0.012    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.007    0.007 ticker.py:123(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:88(<module>)
        2    0.001    0.001    0.010    0.005 __init__.py:38(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:44(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
     2390    0.001    0.000    0.002    0.000 sre_parse.py:131(__getitem__)
        2    0.001    0.001    0.007    0.003 __init__.py:173(<module>)
      592    0.001    0.000    0.001    0.000 {abs}
        1    0.001    0.001    0.001    0.001 __init__.py:4(<module>)
     3014    0.001    0.000    0.004    0.000 sre_parse.py:202(get)
      534    0.001    0.000    0.004    0.000 inspect.py:803(getargspec)
        1    0.001    0.001    0.002    0.002 Image.py:27(<module>)
        1    0.001    0.001    0.026    0.026 collections.py:10(<module>)
        1    0.001    0.001    0.001    0.001 mathtext.py:19(<module>)
        1    0.001    0.001    0.010    0.010 dates.py:108(<module>)
        1    0.001    0.001    0.004    0.004 decimal.py:116(<module>)
        1    0.001    0.001    0.009    0.009 textpath.py:3(<module>)
        1    0.001    0.001    0.018    0.018 backend_bases.py:28(<module>)
        1    0.001    0.001    0.001    0.001 transforms.py:30(<module>)
        1    0.001    0.001    0.025    0.025 __init__.py:15(<module>)
        1    0.001    0.001    0.007    0.007 font_manager.py:21(<module>)
      407    0.001    0.000    0.003    0.000 artist.py:911(get_valid_values)
        1    0.001    0.001    0.006    0.006 urllib2.py:76(<module>)
        1    0.001    0.001    0.042    0.042 finance.py:5(<module>)
        1    0.001    0.001    0.010    0.010 pyparsing.py:58(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:45(<module>)
   219/72    0.001    0.000    0.014    0.000 sre_parse.py:302(_parse_sub)
        1    0.001    0.001    0.002    0.002 cbook.py:7(<module>)
        1    0.001    0.001    0.001    0.001 socket.py:45(<module>)
        1    0.001    0.001    0.003    0.003 httplib.py:67(<module>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        2    0.001    0.000    0.006    0.003 Recursive.py:254(RubioSancho)
        1    0.001    0.001    0.003    0.003 npyio.py:1(<module>)
      666    0.001    0.000    0.001    0.000 string.py:158(convert)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        1    0.001    0.001    0.001    0.001 basic.py:5(<module>)
        1    0.001    0.001    0.015    0.015 __init__.py:141(<module>)
     1453    0.001    0.000    0.001    0.000 artist.py:973(is_alias)
       40    0.001    0.000    0.001    0.000 _inspect.py:120(getargspec)
        1    0.001    0.001    0.029    0.029 pyplot.py:17(<module>)
        1    0.001    0.001    0.005    0.005 contour.py:4(<module>)
        1    0.001    0.001    0.072    0.072 __init__.py:142(<module>)
       11    0.001    0.000    0.011    0.001 artist.py:1018(pprint_setters)
        1    0.001    0.001    0.003    0.003 cm.py:6(<module>)
       66    0.001    0.000    0.001    0.000 cm.py:31(revcmap)
     1492    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x3ba9597d40}
      221    0.001    0.000    0.007    0.000 sre_compile.py:179(_compile_charset)
        1    0.001    0.001    0.006    0.006 pilutil.py:7(<module>)
        1    0.001    0.001    0.002    0.002 index_tricks.py:1(<module>)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.001    0.001    6.632    6.632 Recursive.py:4(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:119(<module>)
        1    0.001    0.001    0.001    0.001 _ode.py:39(<module>)
      692    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      193    0.001    0.000    0.032    0.000 re.py:226(_compile)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
     2153    0.001    0.000    0.001    0.000 sre_parse.py:196(match)
        1    0.001    0.001    0.174    0.174 GF.py:1(<module>)
        1    0.001    0.001    0.002    0.002 compat.py:3(<module>)
        1    0.001    0.001    0.001    0.001 legend.py:13(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:7(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 lapack.py:201(<module>)
       68    0.000    0.000    0.001    0.000 linalg.py:1924(norm)
        1    0.000    0.000    0.001    0.001 blas.py:101(<module>)
        1    0.000    0.000    0.004    0.004 patches.py:3(<module>)
        1    0.000    0.000    0.003    0.003 rcsetup.py:15(<module>)
        1    0.000    0.000    0.002    0.002 pyplot.py:2057(_setup_pyplot_info_docstrings)
        1    0.000    0.000    0.094    0.094 pylab.py:1(<module>)
        1    0.000    0.000    0.042    0.042 nonlin.py:110(<module>)
       72    0.000    0.000    0.003    0.000 sre_compile.py:362(_compile_info)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:47(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 backend_agg.py:21(<module>)
        1    0.000    0.000    0.017    0.017 iterative.py:1(<module>)
        1    0.000    0.000    0.005    0.005 colorbar.py:20(<module>)
        1    0.000    0.000    0.001    0.001 rrule.py:6(<module>)
      172    0.000    0.000    0.002    0.000 cbook.py:1078(dedent)
        1    0.000    0.000    0.001    0.001 _minimize.py:8(<module>)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:51(<module>)
      130    0.000    0.000    0.000    0.000 pyparsing.py:723(__init__)
